#####################################
#####################################
#######  					  #######	
####### THE KINGDOM OF GONDOR #######
#######						  #######	
#####################################
#####################################
###
## In order: 
## Gondor Proper
# House of Anárionath, Kings of Gondor
# House of Húrinionath, Stewards of Gondor
# House of Imrazôrionath, Princes of Dol Amroth
# House of Eärnur, Sealords of Lebennin
# House of Ausir, High Lords of Lossarnach
# House of Malandil, High Lords of Lamedon
# House of Olindur, High Lords of Anfalas
# House of Halboron, High Lords of Pinnath Gelin
# House of Minadirionath, Lords of Entyn-i-Onodlo
# House of Rodirionath, Lords of Gardhon Fuir
# House of Anwar, counts of the Eyrn Fuir
# House of Yrchdaugnir, Lords of Doranorien
# House of Linnarion, Lords of Celosien
# House of Arphenian, Lords of Lebennivet
# House of Celebhatol, Lords of Arnach
# House of Imlothiath, Lords of Edhelion
# House of Durthoron, Lords of Anghabar
# House of Celebharn, Lords of Methrast
# House of Heledir, Lords of Tolfalas
# House of Axanturionath, Lords of Tarlang
# House of Brandirion, Lords of Morthond Vale
# House of Gwaihirion, Captains of Isengard
# House of Authrom, Lords of Rhandir
# House of Palantirith, Lords of Serelond

### Houses of Ithilien (Trig TBF)
# House of Alagos, first Lords of Harithilien
# House of Astandurionath, latest Lords of Harithilien
# House of Arandal, Dukes of Cormalthen
# House of Drinbar, lords of the Nindalf
# House of Finnarphen, lords of Henneth Annun
# House of Asgaril, lords of Forithilien
# House of Faedur, Lords of the Ephel Duath
# House of Wilwarin, later rulers of Coruvegil
# House of Coruvegil, rulers of Coruvegil
# House of Curedain, stewards of the stewards
# House of Rian, cadet of Othnir, rulers of Rian between 1200 and 1700
# House of Othnir, Lords of Othnir
# House of Elemmir, Barons of Abad Elemmir
# House of Usuluni, Courtiers of the Dukes of Emyn Arnen
# House of Glorel, Lords of Glorel
# House of Telengaur, Lords of the Harithilien highlands
# House of Faron, First rulers of Porosir and Morvegil
# House of Morvegil, Dukes of Harithilien after the Kinstrife
# House of Nepos, second Dukes of Harithilien, lords of boths sides of the Poros
# House of Tiridon, cadet of Telengaur, later lords of the Haithilien highlands. 

### Houses of Harondor
# House of Orontorion, Lords of Methir
# House of Thavor, Lords of Laer
# House of Surionath, Lords of Neporos
# House of Morinehtar, Lords of Annun
# house of Súldilion
# House of Rumilion
# House of Calambar, Lords of Narthan (Chief Vanity)
# House of Elentirmo
# House of Seregonir
# House of Calionath, Lords of Harfalas
# House of Amdirvel, Lords of Eredir
# House of Noruinif, Lords of Hyarmen
# House of Maethorionath, Lords of Foraegardh

## Border Realms
# House of Telemnarion, Governors of Umbar
# House of Vinginturion, Lords of Arlefnui
# House of Ohtarion, Lords of Tharagrondost
# House of Isilmonir, Lords of Nethos
# House of Calionath, Lords of Harfalas
# Dor Rhúnen Regents

## Minor Houses / Counts
# House of Himelin	
# House of Dalfelena		
# House of Alfirin	
# House of Dúlinn	
# House of Galadeiliant		
# House of Hardion	
# House of Duneglan	
# House of Tinnubar	
# House of Atanatarionath	
# House of An Rosuldrië
# House of Malanath
# House of An Tyliand
# House of Rond Randir
# House of Rond Rendûl
# House of An Andhen
# House of Imristion
# House of An Lontir
# House of Nos Elmo
# House of An Annodrûn

## Unlanded Houses
# House of Dor Giril 
# House of Manthorionath
# Telcontar DNA Characters
# House of Gilthol (Sol Vanity)

## Angmar Start Date ##
# House of Arastil, Governors of the province of Enedhwaith, based in Southern Tharbad
# House of Forchon, Counts of Riverwatch, guarding the fords of the Angren
# House of Túlion, Holders of Lond Daer (or what's left of it)
# House of Handarod, Governors of the province of Andrast, based in Úlond
# House of Orthonn, Stewards of Tharagrondost until the Kinstrife

## Filler

##############################
##### The Kings of Gondor ####
##############################
# House of Anárionath


    


	trait = blood_of_numenor_1
    6812.7.3 = {
        birth = yes
    }

    6926.12.4 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir72 = {
    name = Thingol 

    dynasty = dynasty_imristion
    religion = faith_edain
    culture = orodbedhrim

    father = lineofcunamir70
    mother = lineofcunamir71

    


	trait = blood_of_numenor_1
    6840.2.3 = {
        birth = yes
    }

    6870.11.10 = {
        add_spouse = lineofcunamir73
    }

    6942.8.9 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir73 = {
    name = Dorien 
    female = yes

    religion = faith_edain
    culture = orodbedhrim

    


	trait = blood_of_numenor_1
    6853.11.4 = {
        birth = yes
    }

    6964.2.25 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir74 = {
    name = Elnith 
    female = yes

    religion = faith_edain
    culture = orodbedhrim

    father = lineofcunamir72
    mother = lineofcunamir73

    


	trait = blood_of_numenor_1
    6885.11.8 = {
        birth = yes
    }

    6991.8.4 = {
        death = { death_reason = death_smallpox }
    }
}

lineofcunamir75 = {
    name = Herucar 

    dynasty = dynasty_imristion
    religion = faith_edain
    culture = orodbedhrim

    father = lineofcunamir72
    mother = lineofcunamir73

    


	trait = blood_of_numenor_1
    6897.8.7 = {
        birth = yes
    }

    6944.10.24 = {
        add_spouse = lineofcunamir76
    }

    7005.3.10 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir76 = {
    name = Raimelin 
    female = yes

    religion = faith_edain
    culture = orodbedhrim

    


	trait = blood_of_numenor_1
    6927.4.14 = {
        birth = yes
    }

    7046.8.22 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir77 = {
    name = Ausir 

    dynasty = dynasty_imristion
    religion = faith_edain
    culture = orodbedhrim

    father = lineofcunamir75
    mother = lineofcunamir76

    


	trait = blood_of_numenor_1
    6961.4.8 = {
        birth = yes
    }

    6994.11.19 = {
        add_spouse = lineofcunamir78
    }

    7062.4.17 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir78 = {
    name = Celenneth 
    female = yes

    religion = faith_edain
    culture = orodbedhrim

    


	trait = blood_of_numenor_1
    6977.3.18 = {
        birth = yes
    }

    7083.4.1 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir79 = {
    name = Alquarosse 

    dynasty = dynasty_imristion
    religion = faith_edain
    culture = orodbedhrim

    father = lineofcunamir75
    mother = lineofcunamir76

    


	trait = blood_of_numenor_1
    6970.10.15 = {
        birth = yes
    }

    6999.1.24 = {
        add_spouse = lineofcunamir80
    }

    7090.6.13 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir80 = {
    name = Celebiel 
    female = yes

    religion = faith_edain
    culture = orodbedhrim

    


	trait = blood_of_numenor_1
    6982.10.25 = {
        birth = yes
    }

    7095.1.3 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir81 = {
    name = Falassion 

    dynasty = dynasty_imristion
    religion = faith_edain
    culture = orodbedhrim

    father = lineofcunamir75
    mother = lineofcunamir76

    


	trait = blood_of_numenor_1
    6976.6.19 = {
        birth = yes
    }

    7008.3.14 = {
        add_spouse = lineofcunamir82
    }

    7093.7.20 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir82 = {
    name = Erestel 
    female = yes

    religion = faith_edain
    culture = gondorian

    


	trait = blood_of_numenor_1
    6991.6.8 = {
        birth = yes
    }

    7094.7.1 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir83 = {
    name = Vorommaite 

    dynasty = dynasty_imristion
    religion = faith_edain
    culture = orodbedhrim

    father = lineofcunamir75
    mother = lineofcunamir76

    


	trait = blood_of_numenor_1
    6980.10.9 = {
        birth = yes
    }

    7015.4.25 = {
        add_spouse = lineofcunamir84
    }

    7093.1.12 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir84 = {
    name = Erestel 
    female = yes

    religion = faith_edain
    culture = orodbedhrim

    6998.12.14 = {
        birth = yes
    }

    7104.7.10 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir85 = {
    name = Romestamo 

    dynasty = dynasty_imristion
    religion = faith_edain
    culture = orodbedhrim

    father = lineofcunamir72
    mother = lineofcunamir73

    


	trait = blood_of_numenor_1
    6902.9.21 = {
        birth = yes
    }

    6932.1.23 = {
        add_spouse = lineofcunamir86
    }

    7021.12.11 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir86 = {
    name = Gilrian 
    female = yes

    religion = faith_edain
    culture = gondorian

    6915.3.3 = {
        birth = yes
    }

    7024.4.1 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir87 = {
    name = Elentir 

    dynasty = dynasty_imristion
    religion = faith_edain
    culture = orodbedhrim

    father = lineofcunamir85
    mother = lineofcunamir86

    


	trait = blood_of_numenor_1
    6944.6.23 = {
        birth = yes
    }

    6982.5.8 = {
        add_spouse = lineofcunamir88
    }

    7054.5.28 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir88 = {
    name = Undomiel 
    female = yes

    religion = faith_edain
    culture = orodbedhrim

    6965.12.18 = {
        birth = yes
    }

    7074.7.28 = {
        death = { death_reason = death_leper }
    }
}

lineofcunamir89 = {
    name = Alquandur 

    dynasty = dynasty_imristion
    religion = faith_edain
    culture = orodbedhrim

    father = lineofcunamir85
    mother = lineofcunamir86

    


	trait = blood_of_numenor_1
    6957.9.15 = {
        birth = yes
    }

    6988.4.11 = {
        add_spouse = lineofcunamir90
    }

    7069.9.28 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir90 = {
    name = Eraniel 
    female = yes

    religion = faith_edain
    culture = orodbedhrim

    


	trait = blood_of_numenor_1
    6971.1.3 = {
        birth = yes
    }

    7087.12.7 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir91 = {
    name = Moriel 
    female = yes

    religion = faith_edain
    culture = orodbedhrim

    father = lineofcunamir70
    mother = lineofcunamir71

    


	trait = blood_of_numenor_1
    6852.7.26 = {
        birth = yes
    }

    6960.3.25 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir92 = {
    name = Mornuru 

    dynasty = dynasty_imristion
    religion = faith_edain
    culture = orodbedhrim

    father = lineofcunamir70
    mother = lineofcunamir71

    


	trait = blood_of_numenor_1
    6868.6.1 = {
        birth = yes
    }

    6904.9.1 = {
        add_spouse = lineofcunamir93
    }

    6973.6.4 = {
        death = { death_reason = death_leper }
    }
}

lineofcunamir93 = {
    name = Emeldir 
    female = yes

    religion = faith_edain
    culture = gondorian

    


	trait = blood_of_numenor_1
    6887.5.17 = {
        birth = yes
    }

    6990.8.13 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir94 = {
    name = Falmandur 

    dynasty = dynasty_imristion
    religion = faith_edain
    culture = orodbedhrim

    father = lineofcunamir92
    mother = lineofcunamir93

    


	trait = blood_of_numenor_1
    6914.7.6 = {
        birth = yes
    }

    6953.2.7 = {
        add_spouse = lineofcunamir95
    }

    7016.8.24 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir95 = {
    name = Calanril 
    female = yes

    religion = faith_edain
    culture = orodbedhrim

    #

    6936.12.6 = {
        birth = yes
    }

    7041.7.9 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir96 = {
    name = Mellondir 

    dynasty = dynasty_imristion
    religion = faith_edain
    culture = orodbedhrim

    father = lineofcunamir94
    mother = lineofcunamir95

    


	trait = blood_of_numenor_1
    6974.6.10 = {
        birth = yes
    }

    7011.10.15 = {
        add_spouse = lineofcunamir97
    }

    7090.12.12 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir97 = {
    name = Boriel 
    female = yes

    religion = faith_edain
    culture = orodbedhrim

    #

    6994.3.8 = {
        birth = yes
    }

    7096.5.4 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir98 = {
    name = Earwen 
    female = yes

    religion = faith_edain
    culture = orodbedhrim

    father = lineofcunamir94
    mother = lineofcunamir95

    


	trait = blood_of_numenor_1
    6976.3.14 = {
        birth = yes
    }

    7083.9.2 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir99 = {
    name = Tiliel 
    female = yes

    religion = faith_edain
    culture = orodbedhrim

    father = lineofcunamir92
    mother = lineofcunamir93

    #

    6915.10.12 = {
        birth = yes
    }

    7017.1.15 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir100 = {
    name = Gwaihir 

    dynasty = dynasty_imristion
    religion = faith_edain
    culture = orodbedhrim

    father = lineofcunamir92
    mother = lineofcunamir93

    


	trait = blood_of_numenor_1
    6931.10.26 = {
        birth = yes
    }

    6981.2.5 = {
        add_spouse = lineofcunamir101
    }

    7042.2.7 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir101 = {
    name = Haleth 
    female = yes

    religion = faith_edain
    culture = orodbedhrim

    #

    6964.8.20 = {
        birth = yes
    }

    7070.6.19 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir102 = {
    name = Eirien 
    female = yes

    religion = faith_edain
    culture = orodbedhrim

    father = lineofcunamir100
    mother = lineofcunamir101

    


	trait = blood_of_numenor_1
    6998.12.13 = {
        birth = yes
    }

    7106.5.18 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir103 = {
    name = Veawen 
    female = yes

    religion = faith_edain
    culture = orodbedhrim

    father = lineofcunamir100
    mother = lineofcunamir101

    #

    7000.2.6 = {
        birth = yes
    }

    7119.11.17 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir104 = {
    name = Alquandil 

    dynasty = dynasty_imristion
    religion = faith_edain
    culture = orodbedhrim

    father = lineofcunamir100
    mother = lineofcunamir101

	trait = blood_of_numenor_1
    7012.4.28 = {
        birth = yes
    }

    7050.6.17 = {
        add_spouse = lineofcunamir105
    }

    7129.1.22 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir105 = {
    name = Arwing 
    female = yes

    religion = faith_edain
    culture = orodbedhrim

	trait = blood_of_numenor_1
    7033.10.25 = {
        birth = yes
    }

    7135.12.5 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofcunamir106 = {
    name = Nuneth 
    female = yes

    religion = faith_edain
    culture = orodbedhrim

    father = lineofcunamir65
    mother = lineofcunamir66

	trait = infertile
	trait = chaste
	trait = compassionate
	trait = forgiving

	trait = education_learning_2

	trait = blood_of_numenor_1

    6698.7.27 = {
        birth = yes
    }

    6808.5.20 = {
        death = { death_reason = death_natural_causes }
    }
}

# House of An Lontir

lineofbregor1 = {
    name = Bregor 

    dynasty = dynasty_an_lontir
    religion = faith_edain
    culture = gondorian

    


	trait = blood_of_numenor_9
    3950.10.2 = {
        birth = yes
    }

    3984.11.8 = {
        add_spouse = lineofbregor2
    }

    4189.1.1 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor2 = {
    name = Aredhel 
    female = yes

    religion = faith_edain
    culture = gondorian

    


	trait = blood_of_numenor_9
    3967.12.14 = {
        birth = yes
    }

    4210.10.10 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor3 = {
    name = Elatar 

    dynasty = dynasty_an_lontir
    religion = faith_edain
    culture = gondorian

    father = lineofbregor1
    mother = lineofbregor2

    


	trait = blood_of_numenor_9
    4004.4.3 = {
        birth = yes
    }

    4076.12.12 = {
        add_spouse = lineofbregor4
    }

    4236.3.25 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor4 = {
    name = Nimloth 
    female = yes

    religion = faith_edain
    culture = gondorian

    


	trait = blood_of_numenor_9
    4059.12.15 = {
        birth = yes
    }

    4291.5.9 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor5 = {
    name = Elladan 

    dynasty = dynasty_an_lontir
    religion = faith_edain
    culture = gondorian

    father = lineofbregor3
    mother = lineofbregor4

    


	trait = blood_of_numenor_9
    4092.12.16 = {
        birth = yes
    }

    4179.7.11 = {
        add_spouse = lineofbregor6
    }

    4317.6.17 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor6 = {
    name = Umbasiel 
    female = yes

    religion = faith_edain
    culture = gondorian

    


	trait = blood_of_numenor_9
    4162.12.17 = {
        birth = yes
    }

    4396.12.4 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor7 = {
    name = Vorondil 

    dynasty = dynasty_an_lontir
    religion = faith_edain
    culture = gondorian

    father = lineofbregor5
    mother = lineofbregor6

    


	trait = blood_of_numenor_9
    4218.10.5 = {
        birth = yes
    }

    4244.11.13 = {
        add_spouse = lineofbregor8
    }

    4443.12.17 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor8 = {
    name = Aurel 
    female = yes

    religion = faith_edain
    culture = gondorian

    


	trait = blood_of_numenor_9
    4227.4.9 = {
        birth = yes
    }

    4449.6.15 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor9 = {
    name = Meneldil 

    dynasty = dynasty_an_lontir
    religion = faith_edain
    culture = gondorian

    father = lineofbregor7
    mother = lineofbregor8

    


	trait = blood_of_numenor_9
    4272.3.26 = {
        birth = yes
    }

    4298.4.26 = {
        add_spouse = lineofbregor10
    }

    4497.12.3 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor10 = {
    name = Elanna 
    female = yes

    religion = faith_edain
    culture = gondorian

    


	trait = blood_of_numenor_9
    4281.6.4 = {
        birth = yes
    }

    4501.5.2 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor11 = {
    name = Alquandil 

    dynasty = dynasty_an_lontir
    religion = faith_edain
    culture = gondorian

    father = lineofbregor9
    mother = lineofbregor10

    


	trait = blood_of_numenor_9
    4327.4.14 = {
        birth = yes
    }

    4388.3.24 = {
        add_spouse = lineofbregor12
    }

    4544.3.17 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor12 = {
    name = Feiniel 
    female = yes

    religion = faith_edain
    culture = gondorian

    


	trait = blood_of_numenor_9
    4371.2.2 = {
        birth = yes
    }

    4585.6.2 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor13 = {
    name = Aeglos 

    dynasty = dynasty_an_lontir
    religion = faith_edain
    culture = gondorian

    father = lineofbregor11
    mother = lineofbregor12

    


	trait = blood_of_numenor_8
    4464.10.5 = {
        birth = yes
    }

    4498.2.24 = {
        add_spouse = lineofbregor14
    }

    4538.10.25 = {
        death = { death_reason = death_murder  }
    }
}

lineofbregor14 = {
    name = Miryaiel 
    female = yes

    religion = faith_edain
    culture = gondorian

    


	trait = blood_of_numenor_8
    4481.11.28 = {
        birth = yes
    }

    4545.6.16 = {
        death = { death_reason = death_hunting_accident  }
    }
}

lineofbregor15 = {
    name = Nolondil 

    dynasty = dynasty_an_lontir
    religion = faith_edain
    culture = gondorian

    father = lineofbregor13
    mother = lineofbregor14

    


	trait = blood_of_numenor_8
    4506.1.28 = {
        birth = yes
    }

    4546.6.24 = {
        add_spouse = lineofbregor16
    }

    4713.11.11 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor16 = {
    name = Maia 
    female = yes

    religion = faith_edain
    culture = gondorian

    


	trait = blood_of_numenor_8
    4529.5.16 = {
        birth = yes
    }

    4738.7.28 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor17 = {
    name = Huor 

    dynasty = dynasty_an_lontir
    religion = faith_edain
    culture = gondorian

    father = lineofbregor15
    mother = lineofbregor16

    


	trait = blood_of_numenor_8
    4619.2.2 = {
        birth = yes
    }

    4658.8.14 = {
        add_spouse = lineofbregor18
    }

    4817.4.1 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor17brother = {
    name = Hador 

    dynasty = dynasty_an_lontir
    religion = faith_edain
    culture = gondorian

    father = lineofbregor15
    mother = lineofbregor16

	trait = blood_of_numenor_8
    4641.7.3 = {
        birth = yes
    }

    4844.4.1 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor18 = {
    name = Orowen 
    female = yes

    religion = faith_edain
    culture = gondorian

    


	trait = blood_of_numenor_8
    4641.12.20 = {
        birth = yes
    }

    4846.6.14 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor19 = {
    name = Arvegil 

    dynasty = dynasty_an_lontir
    religion = faith_edain
    culture = gondorian

    father = lineofbregor17
    mother = lineofbregor18

    


	trait = blood_of_numenor_8
    4732.8.17 = {
        birth = yes
    }

    4787.11.17 = {
        add_spouse = lineofbregor20
    }

    4926.11.10 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor20 = {
    name = Gilraen 
    female = yes

    religion = faith_edain
    culture = gondorian

    


	trait = blood_of_numenor_8
    4770.8.13 = {
        birth = yes
    }

    4962.10.16 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor21 = {
    name = Uinendil 

    dynasty = dynasty_an_lontir
    religion = faith_edain
    culture = gondorian

    father = lineofbregor19
    mother = lineofbregor20

    


	trait = blood_of_numenor_7
    4811.4.15 = {
        birth = yes
    }

    4853.9.19 = {
        add_spouse = lineofbregor22
    }

    4945.3.5 = {
        death = { death_reason = death_pneumonic }
    }
}

lineofbregor22 = {
    name = Melian 
    female = yes

    religion = faith_edain
    culture = gondorian



	trait = blood_of_numenor_7
    4836.7.15 = {
        birth = yes
    }

    5025.3.4 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor23 = {
    name = Alphorn 

    dynasty = dynasty_an_lontir
    religion = faith_edain
    culture = gondorian

    father = lineofbregor21
    mother = lineofbregor22

    


	trait = blood_of_numenor_7
    4878.5.28 = {
        birth = yes
    }

    4919.4.20 = {
        add_spouse = lineofbregor24
    }

    5066.3.7 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor24 = {
    name = Artanis 
    female = yes

    religion = faith_edain
    culture = gondorian

    


	trait = blood_of_numenor_7
    4902.9.6 = {
        birth = yes
    }

    5092.4.3 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor25 = {
    name = Ausir 

    dynasty = dynasty_an_lontir
    religion = faith_edain
    culture = gondorian

    father = lineofbregor23
    mother = lineofbregor24

    


	trait = blood_of_numenor_7
    4967.1.4 = {
        birth = yes
    }

    5015.12.17 = {
        add_spouse = lineofbregor26
    }

    5146.5.16 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor26 = {
    name = Loralya 
    female = yes

    religion = faith_edain
    culture = gondorian

    


	trait = blood_of_numenor_7
    4998.7.27 = {
        birth = yes
    }

    5179.8.25 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor27 = {
    name = Sador 

    dynasty = dynasty_an_lontir
    religion = faith_edain
    culture = gondorian

    father = lineofbregor25
    mother = lineofbregor26

    


	trait = blood_of_numenor_6
    5070.12.22 = {
        birth = yes
    }

    5102.3.15 = {
        add_spouse = lineofbregor28
    }

    5248.11.18 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor28 = {
    name = Miriel 
    female = yes

    religion = faith_edain
    culture = gondorian

    


	trait = blood_of_numenor_6
    5085.6.18 = {
        birth = yes
    }

    5260.3.3 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor29 = {
    name = Valacar 

    dynasty = dynasty_an_lontir
    religion = faith_edain
    culture = gondorian

    father = lineofbregor27
    mother = lineofbregor28

    


	trait = blood_of_numenor_6
    5142.4.10 = {
        birth = yes
    }

    5191.10.27 = {
        add_spouse = lineofbregor30
    }

    5314.3.26 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor30 = {
    name = Amandilme 
    female = yes

    religion = faith_edain
    culture = gondorian

    


	trait = blood_of_numenor_6
    5174.10.2 = {
        birth = yes
    }

    5282.7.2 = {
        death = { death_reason = death_consumption }
    }
}

lineofbregor31 = {
    name = Raion 

    dynasty = dynasty_an_lontir
    religion = faith_edain
    culture = gondorian

    father = lineofbregor29
    mother = lineofbregor30

    


	trait = blood_of_numenor_6
    5241.11.28 = {
        birth = yes
    }

    5291.12.21 = {
        add_spouse = lineofbregor32
    }

    5411.5.18 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor311 = {
    name = Romeniel
	female = yes

    dynasty = dynasty_an_lontir
    religion = faith_edain
    culture = gondorian

    father = lineofbregor29
    mother = lineofbregor30

	trait = blood_of_numenor_6
	trait = beauty_good_3
	trait = wrathful
	trait = impatient
	trait = brave
	
	diplomacy = 2
	martial = 8
	stewardship = 5
	intrigue = 9
	learning = 7
	prowess = 10
	
    5299.12.7 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    5477.8.17 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor32 = {
    name = Umbasiel 
    female = yes

    religion = faith_edain
    culture = gondorian

    


	trait = blood_of_numenor_6
    5274.5.8 = {
        birth = yes
    }

    5435.9.23 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor33 = {
    name = Tuor 

    dynasty = dynasty_an_lontir
    religion = faith_edain
    culture = gondorian

    father = lineofbregor31
    mother = lineofbregor32

    


	trait = blood_of_numenor_6
    5326.4.24 = {
        birth = yes
    }

    5355.2.1 = {
        add_spouse = lineofbregor34
    }

    5485.10.2 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor34 = {
    name = Erendis 
    female = yes

    religion = faith_edain
    culture = gondorian

    


	trait = blood_of_numenor_6
    5338.10.25 = {
        birth = yes
    }

    5499.8.19 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor35 = {
    name = Ostomir 

    dynasty = dynasty_an_lontir
    religion = faith_edain
    culture = gondorian

    father = lineofbregor33
    mother = lineofbregor34

    


	trait = blood_of_numenor_6
    5400.1.1 = {
        birth = yes
    }

    5440.8.7 = {
        add_spouse = lineofbregor36
    }

    5554.8.20 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor36 = {
    name = Melde 
    female = yes

    religion = faith_edain
    culture = gondorian

    


	trait = blood_of_numenor_5
    5423.2.2 = {
        birth = yes
    }

    5579.5.24 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor37 = {
    name = Meneldur 

    dynasty = dynasty_an_lontir
    religion = faith_edain
    culture = gondorian

    father = lineofbregor35
    mother = lineofbregor36

    


	trait = blood_of_numenor_5
    5463.11.18 = {
        birth = yes
    }

    5510.10.18 = {
        add_spouse = lineofbregor38
    }

    5613.5.20 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor38 = {
    name = Galenil 
    female = yes

    religion = faith_edain
    culture = gondorian

    


	trait = blood_of_numenor_5
    5493.6.2 = {
        birth = yes
    }

    5644.8.5 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor39 = {
    name = Ornendil 

    dynasty = dynasty_an_lontir
    religion = faith_edain
    culture = gondorian

    father = lineofbregor37
    mother = lineofbregor38

    


	trait = blood_of_numenor_5
    5582.12.26 = {
        birth = yes
    }

    5614.2.21 = {
        add_spouse = lineofbregor40
    }

    5724.8.13 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofbregor40 = {
    name = Ancalime 
    female = yes

    religion = faith_edain
    culture = gondorian

    


	trait = blood_of_numenor_5
    5597.7.28 = {
        birth = yes
    }

